Hours_Studied_Per_Week,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement_High,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_High,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Motivation_Level_High,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_No,Internet_Access_Yes,Family_Income_High,Family_Income_Low,Family_Income_Medium,Teacher_Quality_High,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Private,School_Type_Public,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_No,Learning_Disabilities_Yes,Parental_Education_Level_College,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Female,Gender_Male,Score_Change
15,80,9,91,3,2,67,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,-24
12,75,7,58,3,4,66,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,8
29,78,5,99,0,1,69,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,-30
19,99,6,84,1,3,72,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,-12
20,74,8,89,1,2,66,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,-23
11,78,8,100,1,3,66,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,-34
17,65,5,75,2,3,63,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,-12
21,62,6,54,0,3,64,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,10
13,91,6,90,1,2,65,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,-25
22,83,6,94,0,2,71,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,-23
16,90,4,58,1,3,66,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,8
18,66,4,51,2,2,64,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,13
16,83,6,57,0,4,63,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,6
31,70,7,66,1,3,69,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True,3
20,69,8,96,2,3,67,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,-29
25,65,5,90,2,3,68,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,-22
13,72,6,93,1,3,61,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,-32
21,65,7,91,2,3,64,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,-27
8,99,9,54,2,5,67,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,13
12,72,8,84,1,5,63,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,-21
21,65,6,98,1,4,64,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,-34
24,68,8,56,3,1,67,True,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,11
21,84,6,52,1,2,65,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,13
19,63,7,94,1,3,64,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,-30
18,94,7,82,3,2,70,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,-12
11,98,9,82,1,3,68,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,-14
16,70,8,98,2,3,65,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,-33
17,78,6,88,1,3,68,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,-20
26,61,6,70,2,3,64,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,-6
22,86,7,72,3,2,68,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,-4
9,77,5,57,2,3,63,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,6
22,71,7,65,1,4,64,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,-1
18,68,7,72,0,3,64,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,-8
16,86,8,63,2,4,67,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,4
24,77,8,96,0,3,67,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,-29
26,67,7,51,2,4,66,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,15
26,88,5,79,1,4,72,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,-7
15,83,5,89,1,2,65,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,-24
18,94,6,87,1,4,71,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,-16
22,65,8,82,2,1,66,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,-16
26,91,8,71,0,3,68,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,-3
17,87,7,96,1,5,70,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,-26
19,65,10,66,0,3,62,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,-4
13,88,9,88,2,4,68,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,-20
13,78,9,96,2,3,67,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,-29
25,98,8,56,0,3,71,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,15
28,66,8,97,0,2,68,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,-29
20,86,8,89,1,3,69,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,-20
26,75,4,81,3,2,70,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,-11
22,98,5,69,1,4,69,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,0
16,73,7,95,1,4,65,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True,-30
22,98,7,52,3,3,70,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,18
29,96,7,72,1,3,71,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,-1
20,71,7,88,1,4,65,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,-23
29,92,4,91,2,1,72,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,-19
4,100,8,60,0,4,69,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,9
25,70,7,52,1,3,66,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,14
21,77,7,90,4,3,68,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,-22
18,81,8,71,0,3,65,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,-6
21,72,5,57,1,5,64,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,7
8,61,7,54,1,3,60,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,6
19,69,7,82,1,2,65,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,-17
22,71,6,79,1,3,66,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,-13
29,78,4,93,5,3,74,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,-19
17,67,5,52,2,3,62,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,10
15,95,7,93,2,4,70,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,-23
17,88,7,94,0,3,69,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,-25
25,63,7,72,3,4,67,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,-5
22,86,6,54,2,0,64,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,10
17,86,5,97,3,3,71,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,-26
23,98,7,54,0,3,68,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,14
21,60,7,80,0,4,64,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,-16
26,70,8,75,1,4,63,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,-12
16,97,6,92,0,4,71,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,-21
18,97,4,75,0,3,69,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,-6
18,89,4,73,3,2,100,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,27
11,91,6,94,3,3,68,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,-26
22,64,7,98,1,3,62,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,-36
22,81,7,77,2,3,68,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,-9
20,69,6,73,2,3,66,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,-7
19,67,5,92,0,3,64,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,-28
12,92,4,92,2,3,67,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,-25
17,65,8,66,1,4,65,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,-1
18,79,7,79,0,3,65,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,-14
15,98,6,58,0,3,69,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,11
19,67,5,82,1,3,63,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,-19
22,99,6,92,3,4,72,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,-20
31,100,7,59,2,5,76,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,17
21,82,7,66,3,3,69,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,3
22,67,7,72,3,2,67,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,-5
20,73,9,92,2,3,69,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,-23
8,77,6,87,0,2,63,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,-24
20,72,9,66,3,3,67,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,1
20,71,7,62,2,5,66,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True,4
35,99,7,85,2,2,79,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,-6
19,66,8,74,1,3,64,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,-10
22,89,6,80,1,3,73,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,-7
20,60,7,82,2,4,63,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,-19
13,84,5,78,1,2,65,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,-13
27,97,8,81,0,5,73,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,-8
25,72,8,94,2,4,70,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False,-24
25,67,9,93,2,3,68,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,-25
15,86,7,57,1,3,65,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True,8
28,89,9,79,0,1,71,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False,-8
12,88,6,72,2,2,64,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,-8
24,73,8,64,4,3,68,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,4
33,70,6,82,1,4,69,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,-13
14,98,7,76,0,4,69,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False,-7
21,78,10,55,1,2,67,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,12
17,94,8,65,4,6,68,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,3
11,78,8,51,2,3,64,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,13
20,77,6,87,0,4,66,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,-21
14,66,7,96,3,3,63,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,-33
23,77,7,79,0,2,66,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,-13
14,81,9,81,1,3,66,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,-15
29,61,7,52,3,3,67,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,15
15,78,9,75,1,1,65,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,-10
18,91,5,76,1,3,68,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,-8
25,87,9,52,1,2,68,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,16
13,85,6,89,0,1,65,True,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,-24
21,96,8,64,2,0,71,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,7
28,61,6,86,1,3,65,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,-21
10,82,8,70,3,1,64,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,-6
21,91,6,100,0,2,72,True,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,-28
22,82,9,61,2,2,65,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,4
25,73,8,53,0,5,66,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,13
13,65,6,99,0,4,61,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,-38
12,96,8,62,2,3,68,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,6
23,79,8,82,3,3,69,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,-13
22,95,6,69,1,3,72,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,3
22,83,5,82,2,3,71,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,-11
22,87,5,80,2,3,70,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,-10
16,92,5,85,1,2,68,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,-17
21,86,5,51,2,2,67,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,16
22,76,8,92,1,4,68,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,-24
16,81,8,74,3,2,68,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,-6
